"Story","Title","Result","Date","Stability","Duration (s)"
"Order templates story","Add a product to order template","PENDING","2015-10-14T11:04:56.086+02:00","0.0","0.0"
"My reviews story","Add new review for a product","PENDING","2015-10-14T11:04:55.854+02:00","0.0","0.0"
"Quick order story","Add products to cart by uploading csv file","PENDING","2015-10-14T11:04:56.449+02:00","0.0","0.0"
"Profile information story","Change currency and check it on  supplier  page","PENDING","2015-10-14T11:04:56.271+02:00","0.0","0.0"
"Profile information story","Change first and last name","PENDING","2015-10-14T11:04:56.271+02:00","0.0","0.0"
"Profile information story","Change password","PENDING","2015-10-14T11:04:56.270+02:00","0.0","0.0"
"Profile information story","Change site language","PENDING","2015-10-14T11:04:56.271+02:00","0.0","0.0"
"Collaborative carts story","Create new collaborative group","PENDING","2015-10-14T11:02:56.107+02:00","0.0","0.0"
"Order templates story","Create new template and remove it","PENDING","2015-10-14T11:04:56.086+02:00","0.0","0.0"
"Compare products story","Product can be added to cart from  compare  products page","SUCCESS","2015-10-14T11:04:51.705+02:00","0.0","0.0"
"Compare products story","Products can be removed from comparison","PENDING","2015-10-14T11:04:51.706+02:00","0.0","0.0"
